scheme,N,B,metric,plot_value,plot_unit,n,m,r,t,q_bits,d,sigma_inf,short_range,message_bits
DKLLMR23RBE,1000,32,Setup,10.372413793103448,ms,256,512,128,NA,64,10,2,"[-2,2]",256
DKLLMR23RBE,1000,32,KeyGen,0.061663286004056794,ms,256,512,128,NA,64,10,2,"[-2,2]",256
DKLLMR23RBE,1000,32,Register,264827.5862068966,ms,256,512,128,NA,64,10,2,"[-2,2]",256
DKLLMR23RBE,1000,32,Encrypt,12.579310344827588,ms,256,512,128,NA,64,10,2,"[-2,2]",256
DKLLMR23RBE,1000,32,DecryptUpdate,2.6588689655172417,ms,256,512,128,NA,64,10,2,"[-2,2]",256
DKLLMR23RBE,1000,32,CiphertextSizes,212.51953125,MiB,256,512,128,NA,64,10,2,"[-2,2]",256
DKLLMR23RBE,10000,100,Setup,14.52137931034483,ms,256,512,128,NA,64,10,2,"[-2,2]",256
DKLLMR23RBE,10000,100,KeyGen,0.061663286004056794,ms,256,512,128,NA,64,10,2,"[-2,2]",256
DKLLMR23RBE,10000,100,Register,3707586.2068965524,ms,256,512,128,NA,64,10,2,"[-2,2]",256
DKLLMR23RBE,10000,100,Encrypt,24.65544827586207,ms,256,512,128,NA,64,10,2,"[-2,2]",256
DKLLMR23RBE,10000,100,DecryptUpdate,3.7224165517241383,ms,256,512,128,NA,64,10,2,"[-2,2]",256
DKLLMR23RBE,10000,100,CiphertextSizes,409.52734375,MiB,256,512,128,NA,64,10,2,"[-2,2]",256
DKLLMR23RBE,100000,317,Setup,17.63310344827586,ms,256,512,128,NA,64,10,2,"[-2,2]",256
DKLLMR23RBE,100000,317,KeyGen,0.061663286004056794,ms,256,512,128,NA,64,10,2,"[-2,2]",256
DKLLMR23RBE,100000,317,Register,45020689.655172415,ms,256,512,128,NA,64,10,2,"[-2,2]",256
DKLLMR23RBE,100000,317,Encrypt,36.35420689655172,ms,256,512,128,NA,64,10,2,"[-2,2]",256
DKLLMR23RBE,100000,317,DecryptUpdate,4.520077241379311,ms,256,512,128,NA,64,10,2,"[-2,2]",256
DKLLMR23RBE,100000,317,CiphertextSizes,599.283203125,MiB,256,512,128,NA,64,10,2,"[-2,2]",256
DKLLMR23RBE,1000000,1000,Setup,20.744827586206895,ms,256,512,128,NA,64,10,2,"[-2,2]",256
DKLLMR23RBE,1000000,1000,KeyGen,0.061663286004056794,ms,256,512,128,NA,64,10,2,"[-2,2]",256
DKLLMR23RBE,1000000,1000,Register,529655172.41379315,ms,256,512,128,NA,64,10,2,"[-2,2]",256
DKLLMR23RBE,1000000,1000,Encrypt,50.31724137931035,ms,256,512,128,NA,64,10,2,"[-2,2]",256
DKLLMR23RBE,1000000,1000,DecryptUpdate,5.3177379310344834,ms,256,512,128,NA,64,10,2,"[-2,2]",256
DKLLMR23RBE,1000000,1000,CiphertextSizes,825.0390625,MiB,256,512,128,NA,64,10,2,"[-2,2]",256
DKLLMR23RBE,10000000,3163,Setup,24.893793103448274,ms,256,512,128,NA,64,10,2,"[-2,2]",256
DKLLMR23RBE,10000000,3163,KeyGen,0.061663286004056794,ms,256,512,128,NA,64,10,2,"[-2,2]",256
DKLLMR23RBE,10000000,3163,Register,6355862068.965517,ms,256,512,128,NA,64,10,2,"[-2,2]",256
DKLLMR23RBE,10000000,3163,Encrypt,72.45682758620688,ms,256,512,128,NA,64,10,2,"[-2,2]",256
DKLLMR23RBE,10000000,3163,DecryptUpdate,6.381285517241379,ms,256,512,128,NA,64,10,2,"[-2,2]",256
DKLLMR23RBE,10000000,3163,CiphertextSizes,1182.046875,MiB,256,512,128,NA,64,10,2,"[-2,2]",256
