scheme,N,B,metric,plot_value,plot_unit,n,m,r,t,q_bits,d,sigma_inf,short_range,message_bits
FC26-BaseRBE,1000,32,Setup,139.0,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-BaseRBE,1000,32,KeyGen,0.12,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-BaseRBE,1000,32,Register,0.0155,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-BaseRBE,1000,32,Encrypt,11.3,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-BaseRBE,1000,32,DecryptUpdate,12401.9,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-BaseRBE,1000,32,CiphertextSizes,4.241426112288135,MiB,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-BaseRBE,10000,100,Setup,139.0,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-BaseRBE,10000,100,KeyGen,0.12,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-BaseRBE,10000,100,Register,0.0155,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-BaseRBE,10000,100,Encrypt,11.3,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-BaseRBE,10000,100,DecryptUpdate,17355.1,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-BaseRBE,10000,100,CiphertextSizes,4.241426112288135,MiB,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-BaseRBE,100000,317,Setup,139.0,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-BaseRBE,100000,317,KeyGen,0.12,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-BaseRBE,100000,317,Register,0.0155,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-BaseRBE,100000,317,Encrypt,11.3,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-BaseRBE,100000,317,DecryptUpdate,21070.0,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-BaseRBE,100000,317,CiphertextSizes,4.241426112288135,MiB,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-BaseRBE,1000000,1000,Setup,139.0,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-BaseRBE,1000000,1000,KeyGen,0.12,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-BaseRBE,1000000,1000,Register,0.0155,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-BaseRBE,1000000,1000,Encrypt,11.3,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-BaseRBE,1000000,1000,DecryptUpdate,24784.9,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-BaseRBE,1000000,1000,CiphertextSizes,4.241426112288135,MiB,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-BaseRBE,10000000,3163,Setup,139.0,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-BaseRBE,10000000,3163,KeyGen,0.12,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-BaseRBE,10000000,3163,Register,0.0155,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-BaseRBE,10000000,3163,Encrypt,11.3,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-BaseRBE,10000000,3163,DecryptUpdate,29738.1,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-BaseRBE,10000000,3163,CiphertextSizes,4.241426112288135,MiB,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-MoreEfficientRBE,1000,32,Setup,2300000.0,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-MoreEfficientRBE,1000,32,KeyGen,0.12,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-MoreEfficientRBE,1000,32,Register,0.0145,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-MoreEfficientRBE,1000,32,Encrypt,1.91,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-MoreEfficientRBE,1000,32,DecryptUpdate,12921.956,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-MoreEfficientRBE,1000,32,CiphertextSizes,0.1531051377118644,MiB,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-MoreEfficientRBE,10000,100,Setup,2300000.0,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-MoreEfficientRBE,10000,100,KeyGen,0.12,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-MoreEfficientRBE,10000,100,Register,0.0145,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-MoreEfficientRBE,10000,100,Encrypt,1.91,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
FC26-MoreEfficientRBE,10000,100,DecryptUpdate,18090.355999999996,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
