scheme,N,B,metric,plot_value,plot_unit,n,m,r,t,q_bits,d,sigma_inf,short_range,message_bits
PostRBE,1000,32,Setup,1293.3203707826633,ms,256,512,128,16129,64,10,2,"{-2,-1,0,1,2}",256
PostRBE,1000,32,KeyGen,113009.1251888729,ms,256,512,128,16129,64,10,2,"{-2,-1,0,1,2}",256
PostRBE,1000,32,Register,1366.280948888166,ms,256,512,128,16129,64,10,2,"{-2,-1,0,1,2}",256
PostRBE,1000,32,Encrypt,36.88235386201337,ms,256,512,128,16129,64,10,2,"{-2,-1,0,1,2}",256
PostRBE,1000,32,DecryptUpdate,831.3765341656077,ms,256,512,128,16129,64,10,2,"{-2,-1,0,1,2}",256
PostRBE,1000,32,CiphertextSizes,0.12699127197265625,MiB,256,512,128,16129,64,10,2,"{-2,-1,0,1,2}",256
PostRBE*,1000,32,Setup,1380.3683839596702,ms,256,512,128,512,64,10,2,"{-2,-1,0,1,2}",256
PostRBE*,1000,32,KeyGen,130.12991985306144,ms,256,512,128,512,64,10,2,"{-2,-1,0,1,2}",256
PostRBE*,1000,32,Register,1441.262144862413,ms,256,512,128,512,64,10,2,"{-2,-1,0,1,2}",256
PostRBE*,1000,32,Encrypt,7.726079993881285,ms,256,512,128,512,64,10,2,"{-2,-1,0,1,2}",256
PostRBE*,1000,32,DecryptUpdate,2.785279997624457,ms,256,512,128,512,64,10,2,"{-2,-1,0,1,2}",256
PostRBE*,1000,32,CiphertextSizes,0.007843017578125,MiB,256,512,128,512,64,10,2,"{-2,-1,0,1,2}",256
PostRBE,10000,100,Setup,12497.443497867373,ms,256,512,128,50945,64,10,2,"{-2,-1,0,1,2}",256
PostRBE,10000,100,KeyGen,1127461.6080849904,ms,256,512,128,50945,64,10,2,"{-2,-1,0,1,2}",256
PostRBE,10000,100,Register,13631.594677909765,ms,256,512,128,50945,64,10,2,"{-2,-1,0,1,2}",256
PostRBE,10000,100,Encrypt,115.25257248025306,ms,256,512,128,50945,64,10,2,"{-2,-1,0,1,2}",256
PostRBE,10000,100,DecryptUpdate,8120.01682449248,ms,256,512,128,50945,64,10,2,"{-2,-1,0,1,2}",256
PostRBE,10000,100,CiphertextSizes,0.39261627197265625,MiB,256,512,128,50945,64,10,2,"{-2,-1,0,1,2}",256
PostRBE*,10000,100,Setup,4313.65119987397,ms,256,512,128,512,64,10,2,"{-2,-1,0,1,2}",256
PostRBE*,10000,100,KeyGen,130.12991985306144,ms,256,512,128,512,64,10,2,"{-2,-1,0,1,2}",256
PostRBE*,10000,100,Register,4602.342076545024,ms,256,512,128,512,64,10,2,"{-2,-1,0,1,2}",256
PostRBE*,10000,100,Encrypt,7.726079993881285,ms,256,512,128,512,64,10,2,"{-2,-1,0,1,2}",256
PostRBE*,10000,100,DecryptUpdate,2.785279997624457,ms,256,512,128,512,64,10,2,"{-2,-1,0,1,2}",256
PostRBE*,10000,100,CiphertextSizes,0.007843017578125,MiB,256,512,128,512,64,10,2,"{-2,-1,0,1,2}",256
PostRBE,100000,317,Setup,125156.19279180895,ms,256,512,128,162049,64,10,2,"{-2,-1,0,1,2}",256
PostRBE,100000,317,KeyGen,11407522.654534286,ms,256,512,128,162049,64,10,2,"{-2,-1,0,1,2}",256
PostRBE,100000,317,Register,137924.71228584374,ms,256,512,128,162049,64,10,2,"{-2,-1,0,1,2}",256
PostRBE,100000,317,Encrypt,365.34577012963564,ms,256,512,128,162049,64,10,2,"{-2,-1,0,1,2}",256
PostRBE,100000,317,DecryptUpdate,81596.89206935628,ms,256,512,128,162049,64,10,2,"{-2,-1,0,1,2}",256
PostRBE,100000,317,CiphertextSizes,1.2402725219726562,MiB,256,512,128,162049,64,10,2,"{-2,-1,0,1,2}",256
PostRBE*,100000,317,Setup,13674.274303600483,ms,256,512,128,512,64,10,2,"{-2,-1,0,1,2}",256
PostRBE*,100000,317,KeyGen,130.12991985306144,ms,256,512,128,512,64,10,2,"{-2,-1,0,1,2}",256
PostRBE*,100000,317,Register,14689.90597617924,ms,256,512,128,512,64,10,2,"{-2,-1,0,1,2}",256
PostRBE*,100000,317,Encrypt,7.726079993881285,ms,256,512,128,512,64,10,2,"{-2,-1,0,1,2}",256
PostRBE*,100000,317,DecryptUpdate,2.785279997624457,ms,256,512,128,512,64,10,2,"{-2,-1,0,1,2}",256
PostRBE*,100000,317,CiphertextSizes,0.007843017578125,MiB,256,512,128,512,64,10,2,"{-2,-1,0,1,2}",256
PostRBE,1000000,1000,Setup,1244126.729869026,ms,256,512,128,511745,64,10,2,"{-2,-1,0,1,2}",256
PostRBE,1000000,1000,KeyGen,113764259.78023875,ms,256,512,128,511745,64,10,2,"{-2,-1,0,1,2}",256
PostRBE,1000000,1000,Register,1375493.123333363,ms,256,512,128,511745,64,10,2,"{-2,-1,0,1,2}",256
PostRBE,1000000,1000,Encrypt,1152.505465956955,ms,256,512,128,511745,64,10,2,"{-2,-1,0,1,2}",256
PostRBE,1000000,1000,DecryptUpdate,811993.2323689159,ms,256,512,128,511745,64,10,2,"{-2,-1,0,1,2}",256
PostRBE,1000000,1000,CiphertextSizes,3.9082412719726562,MiB,256,512,128,511745,64,10,2,"{-2,-1,0,1,2}",256
PostRBE*,1000000,1000,Setup,43136.5119987397,ms,256,512,128,512,64,10,2,"{-2,-1,0,1,2}",256
PostRBE*,1000000,1000,KeyGen,130.12991985306144,ms,256,512,128,512,64,10,2,"{-2,-1,0,1,2}",256
PostRBE*,1000000,1000,Register,46440.16470175605,ms,256,512,128,512,64,10,2,"{-2,-1,0,1,2}",256
PostRBE*,1000000,1000,Encrypt,7.726079993881285,ms,256,512,128,512,64,10,2,"{-2,-1,0,1,2}",256
PostRBE*,1000000,1000,DecryptUpdate,2.785279997624457,ms,256,512,128,512,64,10,2,"{-2,-1,0,1,2}",256
PostRBE*,1000000,1000,CiphertextSizes,0.007843017578125,MiB,256,512,128,512,64,10,2,"{-2,-1,0,1,2}",256
PostRBE,10000000,3163,Setup,12442681.343243165,ms,256,512,128,1619201,64,10,2,"{-2,-1,0,1,2}",256
PostRBE,10000000,3163,KeyGen,1138938190.880867,ms,256,512,128,1619201,64,10,2,"{-2,-1,0,1,2}",256
PostRBE,10000000,3163,Register,13770614.305995433,ms,256,512,128,1619201,64,10,2,"{-2,-1,0,1,2}",256
PostRBE,10000000,3163,Encrypt,3645.369919945962,ms,256,512,128,1619201,64,10,2,"{-2,-1,0,1,2}",256
PostRBE,10000000,3163,DecryptUpdate,8123622.448304085,ms,256,512,128,1619201,64,10,2,"{-2,-1,0,1,2}",256
PostRBE,10000000,3163,CiphertextSizes,12.357460021972656,MiB,256,512,128,1619201,64,10,2,"{-2,-1,0,1,2}",256
PostRBE*,10000000,3163,Setup,136440.78745201367,ms,256,512,128,512,64,10,2,"{-2,-1,0,1,2}",256
PostRBE*,10000000,3163,KeyGen,130.12991985306144,ms,256,512,128,512,64,10,2,"{-2,-1,0,1,2}",256
PostRBE*,10000000,3163,Register,146990.39841101322,ms,256,512,128,512,64,10,2,"{-2,-1,0,1,2}",256
PostRBE*,10000000,3163,Encrypt,7.726079993881285,ms,256,512,128,512,64,10,2,"{-2,-1,0,1,2}",256
PostRBE*,10000000,3163,DecryptUpdate,2.785279997624457,ms,256,512,128,512,64,10,2,"{-2,-1,0,1,2}",256
PostRBE*,10000000,3163,CiphertextSizes,0.007843017578125,MiB,256,512,128,512,64,10,2,"{-2,-1,0,1,2}",256
