scheme,N,B,metric,plot_value,plot_unit,n,m,r,t,q_bits,d,sigma_inf,short_range,message_bits
SP26BLE-RBE,1000,32,Setup,7.453417721518987,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
SP26BLE-RBE,1000,32,KeyGen,0.12,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
SP26BLE-RBE,1000,32,Register,33.24,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
SP26BLE-RBE,1000,32,Encrypt,31.029019149247187,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
SP26BLE-RBE,1000,32,DecryptUpdate,13.809999999999999,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
SP26BLE-RBE,1000,32,CiphertextSizes,13.322265625,MiB,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
SP26BLE-RBE,10000,100,Setup,7.958734177215191,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
SP26BLE-RBE,10000,100,KeyGen,0.12,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
SP26BLE-RBE,10000,100,Register,33.24,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
SP26BLE-RBE,10000,100,Encrypt,31.047215319397747,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
SP26BLE-RBE,10000,100,DecryptUpdate,13.809999999999999,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
SP26BLE-RBE,10000,100,CiphertextSizes,13.330078125,MiB,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
SP26BLE-RBE,100000,317,Setup,8.337721518987342,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
SP26BLE-RBE,100000,317,KeyGen,0.12,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
SP26BLE-RBE,100000,317,Register,33.24,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
SP26BLE-RBE,100000,317,Encrypt,31.06086244701067,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
SP26BLE-RBE,100000,317,DecryptUpdate,13.809999999999999,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
SP26BLE-RBE,100000,317,CiphertextSizes,13.3359375,MiB,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
SP26BLE-RBE,1000000,1000,Setup,8.716708860759494,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
SP26BLE-RBE,1000000,1000,KeyGen,0.12,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
SP26BLE-RBE,1000000,1000,Register,33.24,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
SP26BLE-RBE,1000000,1000,Encrypt,31.074509574623594,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
SP26BLE-RBE,1000000,1000,DecryptUpdate,13.809999999999999,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
SP26BLE-RBE,1000000,1000,CiphertextSizes,13.341796875,MiB,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
SP26BLE-RBE,10000000,3163,Setup,9.222025316455698,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
SP26BLE-RBE,10000000,3163,KeyGen,0.12,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
SP26BLE-RBE,10000000,3163,Register,33.24,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
SP26BLE-RBE,10000000,3163,Encrypt,31.092705744774157,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
SP26BLE-RBE,10000000,3163,DecryptUpdate,13.809999999999999,ms,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
SP26BLE-RBE,10000000,3163,CiphertextSizes,13.349609375,MiB,256,512,128,NA,64,10,2,"{-2,-1,0,1,2}",256
